player,pos,class,from_school,season,to_school,date_entered
Ryder Hernandez,3B,SR,Incarnate Word,2026,--,2026-06-03
Nolan Kutney,RF,SR,UMBC,2026,--,2026-06-03
Nolan Kutney,RF,SR,UMBC,2026,--,2026-06-03
Mason Snyder,P,JR,Western Carolina,2026,--,2026-06-03
Jack Gibson,P,JR,USC Upstate,2026,--,2026-06-03
Ethan Acevedo,LF,JR,VCU,2026,--,2026-06-03
Jamar Whitehead,C,SO,Coppin State,2026,--,2026-06-03
Noah Bourgeois,P,JR,Southeast Missouri,2026,--,2026-06-03
Nathan Hook,P,JR,USC Upstate,2026,--,2026-06-03
Ryan Alexander,IF,JR,UL Monroe,2026,--,2026-06-03
Nakni Anna,P,JR,USF,2026,--,2026-06-03
Braedon Davis,P,JR,Youngstown State,2026,--,2026-06-03
JT Long,P,JR,Dallas Baptist,2026,--,2026-06-03
Naun Haro,P,SR,Utah Valley,2026,--,2026-06-03
Mario Trivella,SS,JR,Florida International,2026,--,2026-06-03
Trey Reinburg,P,JR,Western Kentucky,2026,--,2026-06-03
Bryce Koch,P,SO,Louisville,2026,--,2026-06-03
Domenico Tozzi,C,SO,Coastal Carolina,2026,--,2026-06-03
Frank Papeo,P,SO,Rider,2026,--,2026-06-03
Jackson Miller,LF,SO,Wake Forest,2026,--,2026-06-03
Koen Barton,P,SO,Hawaii,2026,--,2026-06-03
Brooks Willoughby,P,SO,Southern Miss,2026,--,2026-06-03
Jay Abernathy,CF,SO,Tennessee,2026,--,2026-06-03
Conner Johnson,P,SO,Oral Roberts,2026,--,2026-06-03
Tyler Cripe,2B,FR,Navy,2026,--,2026-06-03
Mason Palermo,C,FR,Oakland,2026,--,2026-06-03
Kiernan O'Neill,IF,FR,UCF,2026,--,2026-06-03
Ian Nguyen,C,JR,Western Kentucky,2026,--,2026-06-03
Koa Won,C,FR,Hawaii,2026,--,2026-06-03
Jadyn Furgason,P,FR,Texas,2026,--,2026-06-03
Boyce Read,DH,FR,VCU,2026,--,2026-06-03
Jack Joyce,P,JR,Coppin State,2026,--,2026-06-03
Tyler Vargas,P,JR,Wagner,2026,--,2026-06-03
Will Page-Allen,P,JR,Fresno State,2026,--,2026-06-02
Westin Boyle,SS,FR,Purdue,2026,--,2026-06-02
Aidan Haynes,P,SR,UL Monroe,2026,--,2026-06-02
Austin Matranga,IF,JR,Grand Canyon,2026,--,2026-06-02
Brody McNiel,P,SO,Missouri State,2026,--,2026-06-02
Keller Eberly,P,JR,Texas State,2026,--,2026-06-02
Nicholas Robb,P,JR,Grand Canyon,2026,--,2026-06-02
Daniel Harden,LF,JR,LSU,2026,--,2026-06-02
Carlos Jacome,2B,JR,East Carolina,2026,--,2026-06-02
Logan Dunn,OF,SO,Missouri State,2026,--,2026-06-02
Max Charles,CF,SO,Grand Canyon,2026,--,2026-06-02
Louis Hill,IF,FR,Oral Roberts,2026,--,2026-06-02
Josh Glaser,P,SO,Texas State,2026,--,2026-06-02
Kade Thompson,C,FR,Texas State,2026,--,2026-06-02
Matt Dworsky,C,JR,Arkansas-Pine Bluff,2026,--,2026-06-02
Charlie Dieruf IV,P,SO,Cincinnati,2026,--,2026-06-02
Luke Saunders,P,SO,Texas State,2026,--,2026-06-02
Chase Frey,P,JR,Grand Canyon,2026,--,2026-06-02
Nate Wochner,P,FR,BYU,2026,--,2026-06-02
Calvin Gregory,P,FR,Oregon State,2026,--,2026-06-02
Wade Cooper,P,FR,Texas State,2026,--,2026-06-02
Alexandre Giguère,C,FR,Washington State,2026,--,2026-06-02
Dillon Anderson,LF,JR,Grand Canyon,2026,--,2026-06-02
Luke Billings,P,FR,Texas A&M,2026,--,2026-06-02
Johnny Escobalez Jr.,RF,FR,Mississippi Valley,2026,--,2026-06-02
Alex Yearwood,P,FR,Texas State,2026,--,2026-06-02
Rowin O'Connor,3B,FR,NJIT,2026,--,2026-06-02
Spencer Warfield,LF,JR,USC Upstate,2026,--,2026-06-02
Keoni Painter,LF,JR,BYU,2026,--,2026-06-02
Colby Thorndyke,1B,JR,Coastal Carolina,2026,--,2026-06-02
Aiden Pavoris,P,SR,Illinois-Chicago,2026,--,2026-06-02
Marco Fuentes,P,SR,Rice,2026,--,2026-06-02
Canon Pierce,IF,JR,UNC Asheville,2026,--,2026-06-02
Ryan Halamicek,P,JR,Southern Illinois,2026,--,2026-06-02
Bradley Coulter,P,SO,Cincinnati,2026,--,2026-06-02
Jackson DiLorenzo,P,JR,East Carolina,2026,--,2026-06-02
Drew Martin,LF,JR,Sacred Heart,2026,--,2026-06-02
Finley Bates,2B,JR,Tennessee,2026,--,2026-06-02
Carson Lane,P,JR,UNLV,2026,--,2026-06-02
Kyle McDaniel,2B,JR,Utah Tech,2026,--,2026-06-02
Marcos Rosales,2B,JR,UNLV,2026,--,2026-06-02
Jonny Rodriguez,1B,JR,UNLV,2026,--,2026-06-02
Nico Garcia,C,SO,Alcorn State,2026,--,2026-06-02
Blake Morningstar,P,JR,Wake Forest,2026,--,2026-06-02
Jose Alfonso,3B,JR,Alabama State,2026,--,2026-06-02
Otis Brooks,P,JR,Alabama State,2026,--,2026-06-02
Alex Monile,LF,JR,Florida A&M,2026,--,2026-06-02
Dillon Jennings,C,JR,Rider,2026,--,2026-06-02
Jackson Alford,CF,SR,Elon,2026,--,2026-06-02
Yariel Rodriguez,SS,JR,Towson,2026,--,2026-06-02
Samuel Jackson,P,JR,New Mexico,2026,--,2026-06-02
Eli Pillsbury,P,SR,Jacksonville State,2026,--,2026-06-02
Brandon Stone,P,JR,South Carolina,2026,--,2026-06-02
Graham Hylton,1B,JR,VCU,2026,--,2026-06-02
Luis Martin Romero,P,JR,Saint Mary's (CA),2026,--,2026-06-02
Ryan Marton,P,JR,UNLV,2026,--,2026-06-02
James Peterson,P,SO,Alabama State,2026,--,2026-06-02
Logan Brock,P,SO,Kennesaw State,2026,--,2026-06-02
Landan Browning,P,SO,Dayton,2026,--,2026-06-02
Michael Fernandez,P,SO,Miami,2026,--,2026-06-02
Jayden Hertel,DH,SO,UNLV,2026,--,2026-06-02
Park Roeder,P,SO,Mississippi Valley,2026,--,2026-06-02
Adrien Mendoza,C,FR,Alabama State,2026,--,2026-06-02
Micah Wells,P,SO,Saint Joseph's,2026,--,2026-06-02
Alex Kelsey,CF,SO,Saint Joseph's,2026,--,2026-06-02
Nick Spaner,DH,SO,Holy Cross,2026,--,2026-06-02
John Mass,P,SO,Boston College,2026,--,2026-06-02
Brock Knoerr,UT,JR,Western Kentucky,2026,--,2026-06-02
Ty Pankonin,P,JR,Prairie View,2026,--,2026-06-02
Darius Henderson,P,SO,Kansas,2026,--,2026-06-02
Dylan Richardson,P,JR,South Dakota State,2026,--,2026-06-02
Brian Guerrero,3B,FR,Albany,2026,--,2026-06-02
Jaxon Clayton,P,FR,BYU,2026,--,2026-06-02
Josh Toole,C,FR,Coastal Carolina,2026,--,2026-06-02
Manny Lantigua,P,FR,Florida State,2026,--,2026-06-02
Caleb Kimble,P,FR,Houston,2026,--,2026-06-02
Caden Cooper,P,FR,Houston,2026,--,2026-06-02
Matthew Steinberg,P,SO,Manhattan,2026,--,2026-06-02
Caden Sramek,P,FR,Oklahoma State,2026,--,2026-06-02
Jeff Meade,P,FR,Radford,2026,--,2026-06-02
Cole Hambly,1B,FR,Siena,2026,--,2026-06-02
David An,P,FR,UT Arlington,2026,--,2026-06-02
Griffin Enis,RF,FR,Virginia,2026,--,2026-06-02
Jackson Roper,IF,FR,Wake Forest,2026,--,2026-06-02
Tyler Wood,P,FR,Wake Forest,2026,--,2026-06-02
Phillip Thigpen,2B,FR,Eastern Michigan,2026,--,2026-06-02
Jacob Campos,LF,FR,Saint Mary's (CA),2026,--,2026-06-02
Hutson Chance,IF-OF,FR,Tennessee,2026,--,2026-06-02
Brendan Horne,LF,FR,VCU,2026,--,2026-06-02
Z'Nichi Steave,UT,FR,La Salle,2026,--,2026-06-02
Diego Ortiz,2B,JR,SIUE,2026,--,2026-06-02
Dawson Neal,P,SR,East Carolina,2026,--,2026-06-02
Calvert Clark,P,JR,Appalachian State,2026,--,2026-06-02
Gavin Hawkes,P,SR,Rider,2026,--,2026-06-02
Julien Peissel,P,JR,NC State,2026,--,2026-06-02
Ben Weber,P,SR,Virginia Tech,2026,--,2026-06-02
Chase Krewson,RF,JR,Rutgers,2026,--,2026-06-02
Quentin Jenkins,2B,JR,Alabama State,2026,--,2026-06-02
EJ Hankerson,OF,JR,Maryland,2026,--,2026-06-02
Raul Valdivia,P,JR,Sacramento State,2026,--,2026-06-02
Cade Fuller,3B,JR,Tennessee Tech,2026,--,2026-06-02
Zacary Tenn,P,JR,Hawaii,2026,--,2026-06-02
Brandon Davis,DH,JR,Georgia State,2026,--,2026-06-02
Tanner Nolan,P,JR,Appalachian State,2026,--,2026-06-02
Blake Sehlke,P,JR,Oakland,2026,--,2026-06-02
Austin Haley,P,JR,Kansas State,2026,--,2026-06-02
Drew Thompson,P,JR,UAB,2026,--,2026-06-02
Kaden Soder,P,JR,Utah,2026,--,2026-06-02
Caleb Pica,P,JR,Lipscomb,2026,--,2026-06-02
Chase Swift,P,SO,Virginia Tech,2026,--,2026-06-02
Keaten Hawk,RF,JR,Alcorn State,2026,--,2026-06-02
Michael Kalinich,C,SO,East Carolina,2026,--,2026-06-02
Connor Mendell,C,SO,Northern Illinois,2026,--,2026-06-02
Felix Ong,P,SO,UNLV,2026,--,2026-06-02
Adam Salazar,3B,SO,CSU Bakersfield,2026,--,2026-06-02
Asafa Jones,RF,FR,Jackson State,2026,--,2026-06-02
Eric Cha,1B,SO,Northeastern,2026,--,2026-06-02
Aiden Harris,3B,SO,Virginia,2026,--,2026-06-02
Jayden Lee,OF,SO,UC San Diego,2026,--,2026-06-02
Hunter Hyatt,P,SO,UAB,2026,--,2026-06-02
Michael Delph,P,SO,Army,2026,--,2026-06-02
Landon Carr,P,JR,NC State,2026,--,2026-06-02
Gavin Flores,P-IF,FR,Creighton,2026,--,2026-06-02
Hudson Hartgrove,IF,FR,Louisiana Tech,2026,--,2026-06-02
Josh Jones,C,JR,McNeese,2026,--,2026-06-02
Karson Trichel,P,FR,Nicholls,2026,--,2026-06-02
Demir Heidelberg,RF,FR,Eastern Michigan,2026,--,2026-06-02
Jordan Treadwell,2B,JR,Coppin State,2026,--,2026-06-02
Trey Packen,P,SR,Manhattan,2026,--,2026-06-02
Hunter Sloop,P,JR,Charlotte,2026,--,2026-06-02
Elijah Underhill,P,JR,Austin Peay,2026,--,2026-06-02
Ty Dagley,P,JR,Lamar,2026,--,2026-06-02
JT Taylor,SS,SO,North Carolina A&T,2026,--,2026-06-02
Elijah Foster,P,JR,South Carolina,2026,--,2026-06-02
Daniel Koppisch,P,JR,Austin Peay,2026,--,2026-06-02
Eli Bridenthal,P,JR,Xavier,2026,--,2026-06-02
Hunter High,1B,JR,Tennessee,2026,--,2026-06-02
Cooper Foster,P,JR,Florida International,2026,--,2026-06-02
Devin Mitchell,RF,JR,NC State,2026,--,2026-06-02
Blade Carver,C,JR,East Carolina,2026,--,2026-06-02
Diego Alfonso-Rivera,RF,JR,Winthrop,2026,--,2026-06-02
Jackson Hiatt,1B,JR,Toledo,2026,--,2026-06-02
David Roberts,P,FR,Saint Mary's (CA),2026,--,2026-06-02
Taylor Kirk,2B,SO,Fordham,2026,--,2026-06-02
Ben McMillan,P,FR,Charleston Southern,2026,--,2026-06-02
Blake Hager,P,SO,Morehead State,2026,--,2026-06-02
Noah Waldeck,P,JR,Saint Mary's (CA),2026,--,2026-06-02
Easton Dean,DH,SO,Sam Houston State,2026,--,2026-06-02
Zak Spurrier,P,SO,Samford,2026,--,2026-06-02
Cameron Williams,P,JR,McNeese,2026,--,2026-06-02
Travis Finney,2B,JR,South Dakota State,2026,--,2026-06-02
Michael Dee,2B,FR,Georgia Tech,2026,--,2026-06-02
Jayden Stroman,P,FR,Virginia,2026,--,2026-06-02
Blake Moore,LF,FR,William & Mary,2026,--,2026-06-02
Aidan Dorsch,P,SO,Youngstown State,2026,--,2026-06-02
Mason Gazaway,CF,FR,Georgia Southern,2026,--,2026-06-02
Cash Williams,OF-C,FR,Tennessee,2026,--,2026-06-02
Sebastian Perez,P,FR,La Salle,2026,--,2026-06-02
Marco Christopher,UT,FR,La Salle,2026,--,2026-06-02
Mikey Bell,3B,JR,Gonzaga,2026,--,2026-06-02
Nathan Tichy,P,SO,Washington,2026,--,2026-06-01
Carson Boesel,P,JR,Washington,2026,--,2026-06-01
Noah Kenney,P,JR,Washington,2026,--,2026-06-01
Ian Draper,DH,FR,Washington,2026,--,2026-06-01
Peyton Robidoux,P,FR,Washington,2026,--,2026-06-01
Nathaniel Pimentel,P,FR,CSU Bakersfield,2026,UC Irvine,2026-06-01
Angelo Aleman,1B,SR,Bradley,2026,--,2026-06-01
DJ Primeaux,P,JR,LSU,2026,--,2026-06-01
Max Kaufer,C,SR,Wichita State,2026,--,2026-06-01
Diego Luzardo,P,JR,Houston,2026,--,2026-06-01
Matt Leahy,SS,JR,Rider,2026,--,2026-06-01
Tre Bryant,IF,FR,California,2026,--,2026-06-01
Blake Sebastian,P,FR,Nebraska,2026,--,2026-06-01
Kale Jensen,DH,JR,Illinois-Chicago,2026,--,2026-06-01
Colin Maloney,P,JR,Rhode Island,2026,--,2026-06-01
Jordan Medellin,P,JR,Arkansas-Pine Bluff,2026,--,2026-06-01
Devin Parks,RF,JR,Radford,2026,--,2026-06-01
Logan Barnett,P,JR,New Mexico,2026,--,2026-06-01
Marcus Galvan,C,JR,Grand Canyon,2026,--,2026-06-01
Troy Sanders,2B,JR,Grand Canyon,2026,--,2026-06-01
Billy Scaldeferri,RF,JR,Grand Canyon,2026,--,2026-06-01
Tyler Macon,1B,SO,Missouri,2026,--,2026-06-01
Steve Solorzano,1B,JR,New Mexico State,2026,--,2026-06-01
Kevin Francella,2B,SO,William & Mary,2026,--,2026-06-01
Nathan Borchardt,DH,JR,Eastern Michigan,2026,--,2026-06-01
Tate Hess,P,JR,Dallas Baptist,2026,--,2026-06-01
Cole Egan,P,JR,Eastern Michigan,2026,--,2026-06-01
Will Lafferty,LF,SO,Winthrop,2026,--,2026-06-01
Zach Wieder,3B,SR,Arkansas-Pine Bluff,2026,--,2026-06-01
Jacob Wingard,P,JR,Alcorn State,2026,--,2026-06-01
Mitchell Johnson,P,JR,Wichita State,2026,--,2026-06-01
Landon Grigg,P,SR,Lamar,2026,--,2026-06-01
Hayden Nazarenus,RF,JR,Western Kentucky,2026,--,2026-06-01
Nick Hockemeyer,CF,JR,Arkansas-Pine Bluff,2026,--,2026-06-01
Nick Weaver,C,JR,Eastern Michigan,2026,--,2026-06-01
Cam Diaz,P,SR,Lamar,2026,--,2026-06-01
Matthew Lashley,SS,JR,East Carolina,2026,--,2026-06-01
Aidan Norris,P,JR,Eastern Michigan,2026,--,2026-06-01
Cade Waibel,P,JR,Baylor,2026,--,2026-06-01
John Carmichael,P,JR,Eastern Michigan,2026,--,2026-06-01
Ian Holm,P,JR,McNeese,2026,--,2026-06-01
Brian Henson,P,JR,Eastern Michigan,2026,--,2026-06-01
John Shuey,IF-OF,SO,Illinois State,2026,--,2026-06-01
Troy McLeese,P,SO,Arkansas-Pine Bluff,2026,--,2026-06-01
Isaiah Padilla,IF,JR,Campbell,2026,--,2026-06-01
Jaxon Appelman,P,SO,Coastal Carolina,2026,--,2026-06-01
Avery Duncan,P,SO,Dallas Baptist,2026,--,2026-06-01
Giovanni Bausone,LF,FR,Hofstra,2026,--,2026-06-01
Luke Teschke,P,FR,Illinois State,2026,--,2026-06-01
Rowen Beattie,OF-C,SO,Le Moyne,2026,--,2026-06-01
Kamden Hawks,P,SO,Morehead State,2026,--,2026-06-01
Cooper Reese,P,FR,New Mexico State,2026,--,2026-06-01
Quin Dufort,P,SO,Portland,2026,--,2026-06-01
Kyle Batt,P,SO,Rider,2026,--,2026-06-01
Talin Gardini,P,SO,Saint Mary's (CA),2026,--,2026-06-01
Diego Emerling,P,FR,Saint Mary's (CA),2026,--,2026-06-01
Lukas Sarantos,P,SO,Saint Mary's (CA),2026,--,2026-06-01
Micah Worley,P,SR,Stony Brook,2026,--,2026-06-01
Trever Baumler,P,SO,TCU,2026,--,2026-06-01
Connor Walsh,IF,SO,Eastern Michigan,2026,--,2026-06-01
Henry Slaby,P,SO,Eastern Michigan,2026,--,2026-06-01
Fischer Hendershot,P,SO,Eastern Michigan,2026,--,2026-06-01
Cal Rutherford,P,SO,Eastern Michigan,2026,--,2026-06-01
Jameson Mullin,1B,SO,Sacramento State,2026,--,2026-06-01
Joey Chitla,IF,FR,William & Mary,2026,--,2026-06-01
Khaleel Pratt,RF,FR,Eastern Kentucky,2026,--,2026-06-01
Brayden Ricketts,DH,FR,Indiana,2026,--,2026-06-01
Tristan Crane,2B,SO,Eastern Michigan,2026,--,2026-06-01
Eric Williams,3B,SO,Mississippi Valley,2026,--,2026-06-01
Sam Miller,LF,SO,Binghamton,2026,--,2026-06-01
Aaron Grant,SS,FR,Arkansas-Pine Bluff,2026,--,2026-06-01
Case Bosch,P,FR,Coastal Carolina,2026,--,2026-06-01
Nathan O'Donnell,P,FR,Minnesota,2026,--,2026-06-01
Carter Kutz,P-IF,FR,Nebraska,2026,--,2026-06-01
Maddox Moreno,P,FR,Pacific,2026,--,2026-06-01
Noah Heath,2B,FR,Rider,2026,--,2026-06-01
Nate Lopez,3B,FR,San Diego State,2026,--,2026-06-01
Matthew Cuccias,P,JR,Wichita State,2026,--,2026-06-01
Matthew Cormier,C,SO,Cal State Northridge,2026,--,2026-06-01
Ryan Oaks,P,FR,Cal State Northridge,2026,--,2026-06-01
Hunter Wallerstein,P,FR,College of Charleston,2026,--,2026-06-01
Tommy Rose,P,FR,Eastern Michigan,2026,--,2026-06-01
Cody Kiemele,P,FR,Grand Canyon,2026,--,2026-06-01
Logan Pruski,SS,JR,Northern Colorado,2026,--,2026-06-01
Evan Hankins,1B,FR,Tennessee,2026,--,2026-06-01
Cole Barnes,P,FR,UNC Greensboro,2026,--,2026-06-01
Charlie Pearce,P,FR,Old Dominion,2026,--,2026-06-01
Brock Lenhardt,P,SO,Mississippi Valley,2026,--,2026-06-01
Carter White,P,JR,Eastern Michigan,2026,--,2026-06-01
Tyree Reed,RF,SR,Jackson State,2026,--,2026-06-01
Will Stark,LF,SO,Texas A&M-Corpus Christi,2026,--,2026-06-01
Jackson Gaspard,P,JR,Mercer,2026,--,2026-06-01
Brant Baughcum,3B,SR,Mercer,2026,--,2026-06-01
Dominic Vassallo,P,JR,Long Island,2026,--,2026-06-01
Vinny Salvione,SS,JR,Bowling Green,2026,--,2026-06-01
Hogan Shelby,P,JR,Long Beach State,2026,--,2026-06-01
Justin Hurd,3B,JR,Albany,2026,--,2026-06-01
Cristien Banda,P,JR,Long Beach State,2026,--,2026-06-01
Delshaun Lanier,DH,JR,UC San Diego,2026,--,2026-06-01
Jaden Noot,P,JR,LSU,2026,--,2026-06-01
Easton Culp,C,JR,Lamar,2026,--,2026-06-01
Luke Baier,C,SR,Abilene Christian,2026,--,2026-06-01
Agyei Quinichett,P,JR,North Carolina A&T,2026,--,2026-06-01
Hayden Simmerson,P,JR,Clemson,2026,--,2026-06-01
Tyler Gebb,P,JR,Long Beach State,2026,--,2026-06-01
Holden Harris,P,SO,UTSA,2026,--,2026-06-01
Ryan Kroepel,3B,JR,Utah Tech,2026,--,2026-06-01
Tate Foxson,P,JR,UNLV,2026,--,2026-06-01
Kanoa Morisaki,C,JR,CSU Bakersfield,2026,--,2026-06-01
Smith Chandler,LF,JR,Long Beach State,2026,--,2026-06-01
Xavier Rios,C,SO,Cal State Northridge,2026,--,2026-06-01
Jehee Lee,C,SO,Cal State Northridge,2026,--,2026-06-01
Brad Grindlinger,P,SO,Long Beach State,2026,--,2026-06-01
Andrew Ildefonso,LF,SO,Florida International,2026,--,2026-06-01
Garrett Ahern,P,JR,Grand Canyon,2026,--,2026-06-01
Carter Groen,RF,SO,La Salle,2026,--,2026-06-01
Sam Silas,1B,JR,Georgia State,2026,--,2026-06-01
Daniel Powell,P,JR,Kennesaw State,2026,--,2026-06-01
Lawrence Elinson,P,JR,Long Island,2026,--,2026-06-01
Colby Barker,P,JR,Merrimack,2026,--,2026-06-01
Jake Kulikowski,LF,JR,USF,2026,--,2026-06-01
Cal Wipf,1B,SO,Pepperdine,2026,--,2026-06-01
Royce Hale,DH,JR,Seattle,2026,--,2026-06-01
Dawson Mock,OF,JR,USF,2026,--,2026-06-01
Jase Evangelista,P,JR,UNLV,2026,--,2026-06-01
Chet Lax,P,JR,Wright State,2026,--,2026-06-01
Alex Brazer,SS,SO,Northern Kentucky,2026,--,2026-06-01
David Alvarez,LF,JR,Eastern Kentucky,2026,--,2026-06-01
Martavius Thomas,RF,JR,Grambling,2026,--,2026-06-01
Hayden Stallings,P,SO,Lamar,2026,--,2026-06-01
Sammy Mummau,SS,SO,Jacksonville,2026,--,2026-06-01
Jacob Gomberg,P,JR,UNLV,2026,--,2026-06-01
Austin Castillo,P,SO,Long Beach State,2026,--,2026-06-01
Nick Williams,P,SO,Long Beach State,2026,--,2026-06-01
Reid Montgomery,RF,SO,Long Beach State,2026,--,2026-06-01
Josh Donegan,P,JR,UNLV,2026,--,2026-06-01
Jake Fields,P,SO,Long Beach State,2026,--,2026-06-01
Miller Green,P,JR,Vanderbilt,2026,--,2026-06-01
Brayden Marx,P,JR,BYU,2026,--,2026-06-01
Charlie Krebs,P,JR,Marshall,2026,--,2026-06-01
Niko Urquidi,P,JR,California Baptist,2026,--,2026-06-01
Carter Murphy,1B,JR,USF,2026,--,2026-06-01
Ariel Antigua,2B,JR,Tennessee,2026,--,2026-06-01
Lucas Morici,P,SR,Georgia,2026,--,2026-06-01
Payton Pudenz,P,SO,CSU Bakersfield,2026,--,2026-06-01
Brayden Pleau,LF,JR,Valparaiso,2026,--,2026-06-01
Colton Lafave,P,JR,San Diego State,2026,--,2026-06-01
Karson Lindsey,P,JR,Florida A&M,2026,--,2026-06-01
Ismael Borrero,P,JR,Mercer,2026,--,2026-06-01
Alejandro Vanegas,P,JR,Incarnate Word,2026,--,2026-06-01
Max Towchik,3B,JR,Texas A&M-Corpus Christi,2026,--,2026-06-01
Gethse Ulloa,P,JR,CSU Bakersfield,2026,--,2026-06-01
Brock Adamson,P,JR,CSU Bakersfield,2026,--,2026-06-01
Landon O'Donnell,P,JR,USF,2026,--,2026-06-01
Cooper Corkrean,P,JR,New Mexico,2026,--,2026-06-01
Ryan Apaliski,P,JR,Pittsburgh,2026,--,2026-06-01
James Wilson,P,JR,Jacksonville State,2026,--,2026-06-01
Gehrig Goldbeck,SS,SR,Missouri,2026,--,2026-06-01
Caleb Dyess,P,JR,Nicholls,2026,--,2026-06-01
Ben Barrow,C,JR,James Madison,2026,--,2026-06-01
Rex Smith,IF,JR,VCU,2026,--,2026-06-01
Logan Simmons,P,JR,Louisiana Tech,2026,--,2026-06-01
Taylor Tomlin,CF,JR,Long Beach State,2026,--,2026-06-01
Carter Freeland,C,JR,New Orleans,2026,--,2026-06-01
Michael Malki,P,SO,California Baptist,2026,--,2026-06-01
Kalen Applefield,RF,SO,California,2026,--,2026-06-01
Gian De Castro,1B,FR,Long Beach State,2026,--,2026-06-01
Jake Yeager,P,SO,Maryland,2026,--,2026-06-01
Yahir Acevedo,RF,JR,CSU Bakersfield,2026,--,2026-06-01
Brady Bouchard,P,SO,Binghamton,2026,--,2026-06-01
Andrew Becker,LF,SO,Cal State Northridge,2026,--,2026-06-01
Colton Boardman,2B,SO,Cal State Northridge,2026,--,2026-06-01
Jackson Banuelos,P,SO,Cal State Northridge,2026,--,2026-06-01
